int_rate,loan_cost_proxy,term,payment_to_income,dti,fico_avg,emp_length,home_ownership_RENT,high_dti_flag,loan_amnt,purpose_vacation,pub_rec,purpose_credit_card,inq_last_6mths,purpose_house,annual_inc,has_pub_rec,purpose_other,revol_bal,delinq_2yrs
8.49,2547.0,36.0,0.09879560393698048,13.54,692.0,10.0,True,0,30000.0,False,0.0,True,0.0,False,115000.0,0,False,22022.0,1.0
11.99,599.5,36.0,0.033203359328134376,19.27,707.0,8.0,True,0,5000.0,False,0.0,False,2.0,False,60000.0,0,False,18425.0,0.0
9.8,137.20000000000002,36.0,0.010393755287241405,20.01,672.0,1.0,False,1,1400.0,False,0.0,False,0.0,False,52000.0,0,False,16139.0,0.0
9.17,1834.0,36.0,0.07650041994960605,26.37,672.0,10.0,False,1,20000.0,False,0.0,False,0.0,False,100000.0,0,False,25246.0,0.0
19.48,1178.54,36.0,0.04120593121269919,35.32,702.0,8.0,False,1,6050.0,False,0.0,False,0.0,False,65000.0,0,False,20153.0,0.0
10.78,754.6,36.0,0.049832763760634044,23.19,712.0,10.0,False,1,7000.0,False,0.0,False,0.0,False,55000.0,0,False,7636.0,0.0
6.49,454.3,36.0,0.061273921736646676,15.74,712.0,8.0,True,0,7000.0,False,0.0,False,0.0,False,42000.0,0,False,3958.0,0.0
11.48,1722.0,36.0,0.11865152363432775,14.07,672.0,3.0,True,0,15000.0,False,0.0,False,1.0,False,50000.0,0,False,17653.0,0.0
13.67,4784.5,60.0,0.06783374821693285,15.5,687.0,0.0,False,0,35000.0,False,0.0,False,1.0,False,143000.0,0,False,26001.0,0.0
11.99,863.28,36.0,0.05516650003845267,13.71,667.0,10.0,True,0,7200.0,False,1.0,False,0.0,False,52000.0,1,False,11467.0,0.0
15.77,378.48,36.0,0.04203398300849575,37.6,717.0,6.0,True,1,2400.0,False,0.0,False,0.0,False,24000.0,0,True,7452.0,0.0
17.27,3341.745,60.0,0.07738281874900016,33.54,677.0,0.0,False,1,19350.0,False,0.0,True,0.0,False,75000.0,0,False,35015.0,1.0
11.99,1438.8,36.0,0.06375299952007678,10.59,667.0,9.0,True,0,12000.0,False,3.0,False,0.0,False,75000.0,1,False,6538.0,0.0
18.99,4842.45,60.0,0.15557515878616796,7.65,722.0,10.0,False,0,25500.0,False,0.0,False,0.0,False,51000.0,0,False,40652.0,0.0
18.49,4437.599999999999,60.0,0.07037595703348189,26.14,702.0,7.0,True,1,24000.0,False,0.0,False,0.0,False,105000.0,0,False,8579.0,0.0
6.24,374.4,36.0,0.06340728946730816,5.3,702.0,6.0,True,0,6000.0,False,0.0,True,0.0,False,34657.2,0,False,5128.0,0.0
16.59,1659.0,36.0,0.056710926251799715,21.31,672.0,3.0,False,1,10000.0,False,0.0,False,0.0,False,75000.0,0,False,8376.0,0.0
11.22,1122.0,36.0,0.0463600432880064,25.02,672.0,2.0,False,1,10000.0,False,1.0,False,0.0,False,85000.0,1,False,16997.0,0.0
14.85,5197.5,36.0,0.14526896772387313,26.47,742.0,7.0,False,1,35000.0,False,0.0,False,2.0,False,100000.0,0,False,97456.0,0.0
9.17,3209.5,36.0,0.10884499073261145,23.98,752.0,0.0,False,1,35000.0,False,0.0,True,2.0,False,123000.0,0,False,14465.0,0.0
14.85,5197.5,60.0,0.06638668906487481,31.65,712.0,10.0,False,1,35000.0,False,0.0,False,0.0,False,150000.0,0,False,74594.0,0.0
9.76,1073.6,36.0,0.10608117564730579,9.93,672.0,10.0,False,0,11000.0,False,0.0,False,0.0,False,40000.0,0,False,10740.0,0.0
11.99,605.495,36.0,0.015479494200535335,31.36,712.0,10.0,False,1,5050.0,False,0.0,False,0.0,False,130000.0,0,True,97456.0,0.0
11.48,1836.8,60.0,0.10291524431873598,15.49,667.0,10.0,False,0,16000.0,False,1.0,False,0.0,False,41000.0,1,False,17259.0,0.0
8.38,838.0000000000001,36.0,0.06001142639497239,29.39,707.0,3.0,True,1,10000.0,False,0.0,True,1.0,False,63000.0,0,False,22579.0,0.0
11.99,1882.43,60.0,0.06867370353373108,15.64,707.0,9.0,False,0,15700.0,False,0.0,False,1.0,False,61000.0,0,False,16093.0,1.0
16.55,413.75,36.0,0.032199200290803344,24.0,662.0,10.0,False,1,2500.0,True,1.0,False,0.0,False,33000.0,1,False,8485.0,0.0
9.17,641.9,36.0,0.07648577630526676,16.15,662.0,9.0,True,0,7000.0,False,0.0,True,0.0,False,35000.0,0,False,8902.0,0.0
12.59,1510.8,36.0,0.10260444141921213,21.12,677.0,3.0,True,1,12000.0,False,0.0,False,0.0,False,47000.0,0,False,13537.0,0.0
11.22,673.2,36.0,0.059848147398258764,11.36,682.0,2.0,True,0,6000.0,False,0.0,False,1.0,False,39500.0,0,False,8099.0,1.0
7.49,449.4,36.0,0.020355233974475515,18.8,712.0,10.0,False,0,6000.0,False,0.0,False,0.0,False,110000.0,0,False,30326.0,0.0
17.97,3953.4,60.0,0.12178433796262633,22.34,667.0,10.0,False,1,22000.0,False,0.0,False,1.0,False,55000.0,0,False,39840.0,1.0
9.17,1834.0,36.0,0.08895223922243409,30.32,737.0,4.0,True,1,20000.0,False,0.0,True,0.0,False,86000.0,0,False,3048.0,0.0
9.76,3416.0,36.0,0.152620016273393,15.2,732.0,6.0,False,0,35000.0,False,0.0,False,0.0,False,88476.0,0,False,35565.0,0.0
13.99,723.9825,36.0,0.046122750586803436,21.16,702.0,0.0,True,1,5175.0,False,0.0,False,1.0,False,46000.0,0,True,5551.0,0.0
6.89,496.08,36.0,0.07294916739702016,33.21,707.0,6.0,False,1,7200.0,False,0.0,False,0.0,False,36500.0,0,False,24775.0,0.0
11.99,959.2,36.0,0.13734964673444772,33.78,677.0,2.0,False,1,8000.0,False,0.0,False,1.0,False,23200.0,0,False,13545.0,0.0
10.78,2156.0,36.0,0.1521977381368777,27.83,697.0,10.0,True,1,20000.0,False,0.0,True,1.0,False,51450.0,0,False,23946.0,0.0
13.18,3321.36,60.0,0.08126523314355621,25.84,712.0,10.0,False,1,25200.0,False,0.0,False,0.0,False,85000.0,0,False,9387.0,0.0
9.8,392.0,36.0,0.0325054723017343,5.79,687.0,2.0,False,0,4000.0,False,0.0,False,0.0,False,47500.0,0,False,5854.0,0.0
13.99,3917.2,60.0,0.07938695917123705,11.85,662.0,10.0,True,0,28000.0,False,1.0,False,0.0,False,98448.0,1,False,17504.0,0.0
10.78,1940.4,60.0,0.06674284408387134,21.64,692.0,3.0,False,1,18000.0,False,0.0,False,0.0,False,70000.0,0,False,11422.0,0.0
9.8,1960.0,36.0,0.08042369703787026,19.04,767.0,10.0,False,0,20000.0,False,0.0,False,0.0,False,96000.0,0,False,8516.0,0.0
12.59,2643.9,36.0,0.0856878349845704,20.08,667.0,4.0,True,1,21000.0,False,0.0,False,0.0,False,98500.0,0,False,35735.0,1.0
5.32,1117.2,36.0,0.034810193934278845,16.64,702.0,4.0,False,0,21000.0,False,0.0,True,1.0,False,218000.0,0,False,82574.0,1.0
9.17,550.2,36.0,0.03530671260690334,10.43,672.0,0.0,False,0,6000.0,False,0.0,True,2.0,False,65000.0,0,False,9012.0,2.0
18.99,3190.32,36.0,0.17587546415309913,24.34,702.0,4.0,True,1,16800.0,False,0.0,False,1.0,False,42000.0,0,True,19139.0,0.0
24.24,484.8,36.0,0.06893169877408056,20.16,692.0,6.0,True,1,2000.0,False,0.0,False,2.0,False,13692.0,0,False,5729.0,0.0
12.59,1888.5,36.0,0.1096037228241111,16.39,702.0,10.0,False,0,15000.0,False,0.0,False,2.0,True,55000.0,0,False,4662.0,1.0
7.89,631.2,36.0,0.037537869319602055,12.93,732.0,10.0,True,0,8000.0,True,0.0,False,0.0,False,80000.0,0,False,5207.0,0.0
14.85,2970.0,36.0,0.09223303559525398,2.64,707.0,1.0,False,0,20000.0,False,0.0,False,2.0,False,90000.0,0,False,9456.0,0.0
14.85,742.5,36.0,0.017890563045202222,18.46,702.0,10.0,False,0,5000.0,False,0.0,False,0.0,False,116000.0,0,False,11005.0,1.0
11.48,746.2,36.0,0.04146745791137199,29.27,667.0,0.0,False,1,6500.0,False,0.0,True,0.0,False,62000.0,0,False,8275.0,1.0
13.99,1941.1125,36.0,0.056891173059232886,4.01,727.0,4.0,False,0,13875.0,False,0.0,False,0.0,False,100000.0,0,False,11565.0,0.0
6.99,349.5,36.0,0.030361896020454995,30.53,712.0,10.0,False,1,5000.0,False,0.0,False,0.0,False,61000.0,0,False,11513.0,4.0
7.49,898.8,36.0,0.04664666916635421,10.9,732.0,4.0,False,0,12000.0,False,1.0,False,0.0,False,96000.0,1,False,13631.0,0.0
14.85,4158.0,60.0,0.07241973602879685,24.02,697.0,10.0,False,1,28000.0,False,0.0,False,1.0,False,110000.0,0,False,18524.0,0.0
11.99,599.5,36.0,0.023718040279960006,27.56,732.0,10.0,False,1,5000.0,False,0.0,False,1.0,False,84000.0,0,False,25972.0,0.0
11.99,839.3,36.0,0.04648470305938812,26.08,667.0,8.0,True,1,7000.0,False,0.0,True,0.0,False,60000.0,0,False,3595.0,0.0
13.44,873.6,36.0,0.06448844240710036,21.12,692.0,1.0,True,1,6500.0,False,0.0,False,0.0,False,41000.0,0,False,9072.0,2.0
11.48,1377.6,36.0,0.08475326715703778,11.23,662.0,10.0,True,0,12000.0,False,1.0,False,1.0,False,56000.0,1,False,10139.0,0.0
15.77,4731.0,36.0,0.07208488560784403,18.5,727.0,2.0,False,0,30000.0,False,0.0,False,1.0,False,175000.0,0,False,21831.0,0.0
14.48,3475.2,36.0,0.16083687288576254,34.91,672.0,6.0,True,1,24000.0,False,0.0,False,2.0,False,61605.96,0,False,22895.0,0.0
10.78,1034.88,36.0,0.03417445369596044,34.79,672.0,10.0,False,1,9600.0,False,0.0,False,1.0,False,110000.0,0,False,46299.0,0.0
23.13,2833.425,60.0,0.1038438468459462,26.19,667.0,10.0,True,1,12250.0,False,0.0,False,1.0,False,40000.0,0,False,11260.0,1.0
11.22,1099.56,36.0,0.1072542485838054,5.73,717.0,6.0,True,0,9800.0,False,0.0,False,1.0,False,36000.0,0,False,9381.0,0.0
8.38,1676.0000000000002,36.0,0.09452182172674099,24.93,677.0,2.0,True,1,20000.0,False,0.0,False,0.0,False,80000.0,0,False,41318.0,0.0
11.99,1199.0,36.0,0.07812279463655611,11.22,677.0,10.0,True,0,10000.0,False,0.0,False,0.0,False,51000.0,0,False,7366.0,0.0
17.27,3454.0,60.0,0.09997200559888023,6.46,682.0,10.0,False,0,20000.0,False,0.0,False,2.0,False,60000.0,0,False,5483.0,1.0
11.99,2877.6,60.0,0.04926468326000676,23.12,677.0,10.0,False,1,24000.0,False,0.0,True,0.0,False,130000.0,0,False,28532.0,0.0
9.17,550.2,36.0,0.06894629340382073,15.87,692.0,2.0,True,0,6000.0,False,0.0,True,0.0,False,33280.0,0,False,8265.0,0.0
12.59,125.9,36.0,0.013132105056840454,17.76,667.0,2.0,True,0,1000.0,False,0.0,False,0.0,False,30600.0,0,True,488.0,0.0
12.59,4406.5,60.0,0.08232601815462734,27.29,692.0,1.0,False,1,35000.0,False,0.0,False,0.0,False,115000.0,0,False,41048.0,0.0
10.78,892.045,36.0,0.05890932887370029,38.05,717.0,6.0,False,1,8275.0,False,0.0,True,0.0,False,55000.0,0,False,46623.0,0.0
11.48,688.8,36.0,0.08473511352277595,19.72,697.0,9.0,True,0,6000.0,False,0.0,False,1.0,False,28000.0,0,False,5508.0,0.0
8.38,1508.4,36.0,0.07163979286826927,20.5,672.0,10.0,True,1,18000.0,False,0.0,True,0.0,False,95000.0,0,False,29252.0,0.0
11.99,1079.1,36.0,0.04718570751986528,21.51,717.0,10.0,False,1,9000.0,False,0.0,False,0.0,False,76000.0,0,False,15779.0,1.0
9.17,366.8,36.0,0.031221741614298536,12.93,697.0,10.0,False,0,4000.0,False,0.0,False,0.0,False,49000.0,0,False,15139.0,0.0
18.99,4068.6074999999996,36.0,0.14061660598101833,6.66,672.0,10.0,False,0,21425.0,False,1.0,False,3.0,False,67000.0,1,False,6906.0,0.0
14.85,742.5,36.0,0.03915189013808194,30.1,697.0,5.0,False,1,5000.0,False,1.0,False,2.0,False,53000.0,1,False,7994.0,0.0
10.78,862.4,36.0,0.07830050984704588,28.5,672.0,8.0,True,1,8000.0,False,1.0,False,1.0,False,40000.0,1,False,9157.0,0.0
13.99,657.53,36.0,0.02189974094441667,14.21,662.0,4.0,False,0,4700.0,False,2.0,False,0.0,False,88000.0,1,False,2328.0,0.0
11.48,574.0,36.0,0.1715296566077003,21.46,747.0,6.0,True,1,5000.0,False,0.0,False,0.0,False,11520.0,0,False,2322.0,0.0
11.48,1148.0,60.0,0.04795244673889334,22.74,762.0,10.0,False,1,10000.0,False,0.0,True,1.0,False,55000.0,0,False,31359.0,0.0
9.17,330.12,36.0,0.013770747510298763,21.35,687.0,0.0,False,1,3600.0,False,0.0,False,1.0,False,100000.0,0,False,13806.0,1.0
5.32,532.0,36.0,0.028907624868012672,11.51,722.0,10.0,False,0,10000.0,False,0.0,False,1.0,False,125000.0,0,False,8693.0,0.0
9.8,1764.0,60.0,0.06089905615101584,17.12,717.0,10.0,True,0,18000.0,False,0.0,True,1.0,False,75000.0,0,False,19898.0,0.0
16.55,827.5,36.0,0.040100354636686035,11.93,737.0,0.0,True,0,5000.0,False,0.0,False,1.0,False,53000.0,0,False,1063.0,0.0
9.17,458.5,36.0,0.049031067363888035,14.66,702.0,10.0,False,0,5000.0,False,0.0,False,0.0,False,39000.0,0,False,13307.0,2.0
9.17,917.0,36.0,0.0849880031991469,3.84,687.0,9.0,False,0,10000.0,False,0.0,True,1.0,False,45000.0,0,False,6744.0,0.0
10.78,3234.0,36.0,0.09397881803346879,20.45,712.0,10.0,False,1,30000.0,False,0.0,True,1.0,False,125000.0,0,False,38778.0,0.0
9.17,275.1,36.0,0.0353001968503937,14.19,682.0,1.0,True,0,3000.0,False,0.0,False,0.0,False,32500.0,0,True,2398.0,0.0
16.59,680.19,36.0,0.09174205764780138,9.6,677.0,4.0,True,0,4100.0,False,0.0,True,0.0,False,19000.0,0,False,6001.0,0.0
6.99,419.4,36.0,0.02886407313146003,8.95,722.0,8.0,False,0,6000.0,False,0.0,False,0.0,False,77000.0,0,True,18702.0,0.0
11.99,299.75,36.0,0.055316455696202534,28.73,712.0,6.0,False,1,2500.0,False,1.0,False,0.0,False,18000.0,1,False,1213.0,0.0
9.17,733.6,36.0,0.07950950846929232,29.2,707.0,3.0,True,1,8000.0,False,0.0,True,3.0,False,38480.0,0,False,4383.0,1.0
10.78,1617.0,36.0,0.07341698745188222,13.64,662.0,7.0,False,0,15000.0,False,3.0,False,1.0,False,80000.0,1,False,6007.0,0.0
13.44,3225.6,60.0,0.07352353019597387,6.76,807.0,10.0,False,0,24000.0,False,0.0,True,1.0,False,90000.0,0,False,896.0,0.0
13.44,2422.56,36.0,0.15275431142214446,24.95,662.0,0.0,False,1,18025.0,False,1.0,True,0.0,False,48000.0,1,False,18395.0,0.0
11.99,719.4,36.0,0.0281268526796217,32.5,672.0,3.0,False,1,6000.0,False,1.0,True,3.0,False,85000.0,1,False,72365.0,5.0
11.22,336.6,36.0,0.019702059588082382,31.24,677.0,10.0,False,1,3000.0,False,0.0,False,0.0,False,60000.0,0,False,20848.0,0.0
11.22,1122.0,36.0,0.0938103399028849,14.18,707.0,6.0,True,0,10000.0,False,0.0,False,2.0,False,42000.0,0,True,3537.0,0.0
8.38,2933.0,36.0,0.12603359616043883,5.51,757.0,2.0,True,0,35000.0,False,0.0,False,1.0,False,105000.0,0,False,4895.0,0.0
7.49,1400.63,36.0,0.06646211861501543,31.94,722.0,10.0,False,1,18700.0,False,0.0,False,0.0,False,105000.0,0,False,2544.0,0.0
10.78,490.49,36.0,0.022841101369020154,26.08,672.0,5.0,False,1,4550.0,False,1.0,False,0.0,False,78000.0,1,False,11665.0,0.0
7.49,1872.5,36.0,0.16658216096550738,21.15,757.0,5.0,False,1,25000.0,False,0.0,True,0.0,False,56000.0,0,False,19231.0,0.0
23.13,3562.02,60.0,0.14919113446818236,24.04,697.0,7.0,False,1,15400.0,False,0.0,False,4.0,False,35000.0,0,False,9998.0,0.0
18.99,2824.7625,60.0,0.11570228931320604,11.16,682.0,0.0,True,0,14875.0,False,0.0,False,1.0,False,40000.0,0,False,4847.0,0.0
17.86,6251.0,60.0,0.08178721964126388,16.31,687.0,10.0,False,0,35000.0,False,0.0,True,4.0,False,130000.0,0,False,35974.0,0.0
9.8,490.0,36.0,0.032034117686104015,1.41,687.0,0.0,True,0,5000.0,False,0.0,False,1.0,False,60250.0,0,False,3403.0,0.0
6.99,1677.6,36.0,0.03483244666264466,32.28,722.0,6.0,False,1,24000.0,False,0.0,False,2.0,False,255250.0,0,False,17204.0,0.0
11.99,1157.035,36.0,0.128140743702519,28.52,667.0,10.0,True,1,9650.0,False,0.0,True,0.0,False,30000.0,0,False,5207.0,1.0
11.99,1798.5,36.0,0.06580943468927175,19.98,742.0,5.0,True,0,15000.0,False,0.0,True,0.0,False,90823.0,0,False,10497.0,0.0
23.13,4070.88,36.0,0.2046855943217035,38.5625,682.0,0.0,True,1,17600.0,False,0.0,True,1.0,False,40000.0,0,False,35967.0,0.0
10.78,431.2,36.0,0.04860014892032762,19.66,687.0,10.0,False,0,4000.0,False,0.0,False,0.0,False,32220.0,0,False,2273.0,0.0
12.88,1288.0000000000002,36.0,0.0650912726569051,22.18,682.0,10.0,False,1,10000.0,False,0.0,False,3.0,False,62000.0,0,False,14682.0,0.0
9.17,2751.0,60.0,0.09377043443483478,24.84,702.0,6.0,False,1,30000.0,False,0.0,True,0.0,False,80000.0,0,False,22224.0,0.0
17.97,1347.75,36.0,0.2166586730615508,37.2,687.0,10.0,False,1,7500.0,False,1.0,False,0.0,False,15000.0,1,False,7933.0,0.0
13.18,2965.5,36.0,0.0829076827982402,15.06,692.0,2.0,True,0,22500.0,False,1.0,False,1.0,False,110000.0,1,False,17644.0,0.0
7.89,1972.5,36.0,0.10427276363151579,26.73,697.0,4.0,False,1,25000.0,False,0.0,True,0.0,False,90000.0,0,False,25560.0,0.0
12.88,1932.0,36.0,0.08071508558630619,15.7,672.0,0.0,False,0,15000.0,False,0.0,False,1.0,False,75000.0,0,False,14245.0,0.0
17.97,2178.8625,36.0,0.190584653303853,38.16,692.0,6.0,False,1,12125.0,False,0.0,False,0.0,False,27577.0,0,False,18681.0,0.0
11.99,839.3,36.0,0.06485724913977495,14.12,682.0,5.0,False,0,7000.0,False,1.0,False,1.0,False,43000.0,1,False,2449.0,0.0
7.91,2768.5,36.0,0.05974201407195971,12.46,807.0,4.0,True,0,35000.0,False,0.0,False,0.0,False,220000.0,0,False,7080.0,0.0
11.99,1798.5,60.0,0.06157632437088537,7.9,777.0,10.0,False,0,15000.0,False,0.0,False,3.0,False,65000.0,0,False,12845.0,0.0
10.78,2156.0,36.0,0.033904732221702774,20.09,692.0,10.0,False,1,20000.0,False,0.0,False,2.0,False,231000.0,0,False,86207.0,0.0
7.91,2060.555,60.0,0.07684128681115755,12.5,777.0,10.0,False,0,26050.0,False,0.0,False,0.0,False,82300.0,0,False,24319.0,0.0
13.44,2016.0,36.0,0.062269926131494104,37.42,672.0,9.0,False,1,15000.0,False,1.0,False,1.0,False,98000.0,1,False,16873.0,0.0
5.32,787.36,36.0,0.08226788900510675,18.54,702.0,2.0,False,0,14800.0,False,0.0,True,0.0,False,65000.0,0,False,14840.0,0.0
18.49,1848.9999999999998,36.0,0.05671687529216226,10.88,692.0,10.0,True,0,10000.0,False,0.0,False,2.0,False,77000.0,0,False,5127.0,0.0
12.88,2318.4,60.0,0.04900931888173419,16.19,697.0,10.0,False,0,18000.0,False,0.0,False,1.0,False,100000.0,0,False,22523.0,0.0
19.48,5658.94,60.0,0.1087373232395372,10.9,732.0,9.0,False,0,29050.0,False,0.0,False,1.0,False,84000.0,0,True,11517.0,0.0
12.59,1133.1,36.0,0.03288513980293059,12.49,662.0,4.0,False,0,9000.0,False,2.0,False,2.0,False,110000.0,1,False,1528.0,0.0
9.17,1100.4,36.0,0.053371622564293356,13.37,717.0,10.0,True,0,12000.0,False,0.0,False,5.0,False,86000.0,0,False,8591.0,0.0
11.22,112.2,36.0,0.009852044386683995,34.41,677.0,7.0,False,1,1000.0,False,0.0,False,1.0,False,40000.0,0,False,12272.0,0.0
6.49,1817.2,36.0,0.07919730486416637,15.89,702.0,10.0,False,0,28000.0,False,0.0,True,1.0,False,130000.0,0,False,42340.0,1.0
16.59,385.7175,36.0,0.013734377603732712,13.55,677.0,10.0,False,0,2325.0,False,0.0,False,1.0,False,72000.0,0,False,2428.0,3.0
9.17,1467.2,36.0,0.051001899810019,22.61,692.0,1.0,True,1,16000.0,False,0.0,True,0.0,False,120000.0,0,False,25519.0,0.0
9.17,1100.4,36.0,0.10198613703012531,11.97,662.0,10.0,False,0,12000.0,False,0.0,True,1.0,False,45000.0,0,False,5249.0,1.0
17.97,1967.715,36.0,0.1318593802065978,4.0,707.0,0.0,True,0,10950.0,False,1.0,False,2.0,False,36000.0,1,False,3783.0,0.0
11.22,1346.4,36.0,0.046361604517115636,26.76,672.0,9.0,False,1,12000.0,False,0.0,False,1.0,False,102000.0,0,False,14680.0,3.0
11.48,1377.6,60.0,0.041646055885912754,4.38,667.0,10.0,True,0,12000.0,False,1.0,False,0.0,False,76000.0,1,False,7259.0,0.0
8.49,1120.68,60.0,0.03008110209976669,24.82,712.0,10.0,False,1,13200.0,False,0.0,False,0.0,False,108000.0,0,False,72761.0,0.0
7.91,2768.5,36.0,0.07965457057668533,18.89,712.0,4.0,False,0,35000.0,False,1.0,False,1.0,False,165000.0,1,False,53593.0,0.0
9.76,683.2,36.0,0.038036951501154735,11.78,707.0,3.0,True,0,7000.0,False,0.0,False,1.0,False,71000.0,0,False,6198.0,0.0
13.44,4704.0,60.0,0.08041895810418957,10.9,742.0,10.0,False,0,35000.0,False,1.0,False,2.0,False,120000.0,1,False,13608.0,0.0
13.44,2261.28,36.0,0.11407318536292742,28.41,662.0,8.0,True,1,16825.0,False,0.0,False,0.0,False,60000.0,0,False,4062.0,11.0
5.32,691.6,36.0,0.06523912681219797,21.02,782.0,1.0,False,1,13000.0,False,0.0,False,0.0,False,72000.0,0,False,8958.0,0.0
9.8,1176.0000000000002,36.0,0.0842194430306115,9.46,682.0,2.0,True,0,12000.0,False,0.0,False,0.0,False,55000.0,0,False,12593.0,2.0
13.18,2108.8,36.0,0.12968887467007917,26.98,677.0,1.0,True,1,16000.0,False,1.0,False,1.0,False,50000.0,1,False,26504.0,0.0
7.91,632.8,36.0,0.046211776287454626,14.9,717.0,5.0,False,0,8000.0,False,0.0,False,1.0,False,65000.0,0,False,4989.0,0.0
7.91,1423.8,36.0,0.10727670919824794,18.04,732.0,2.0,False,0,18000.0,False,0.0,False,0.0,False,63000.0,0,False,65176.0,0.0
9.17,550.2,36.0,0.02251257858550986,8.13,677.0,10.0,False,0,6000.0,False,0.0,False,2.0,False,101947.0,0,False,8959.0,3.0
13.18,1581.6,60.0,0.10961615353858456,9.04,707.0,10.0,True,0,12000.0,False,0.0,False,0.0,False,30000.0,0,False,10512.0,0.0
11.48,229.6,36.0,0.006879977741453065,24.64,667.0,10.0,True,1,2000.0,False,0.0,False,1.0,False,115000.0,0,False,44622.0,0.0
